"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Nova Scotia","2016A000212","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410032","5.1.3.3","56.8","","","","1"
"2021-07","Nova Scotia","2016A000212","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410033","5.1.3.4","426","","","","0"
"2021-07","Nova Scotia","2016A000212","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410034","5.1.3.5","384","","","","0"
"2021-07","Nova Scotia","2016A000212","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410035","5.1.3.6","468","","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410036","5.2.1.1","10.6","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410037","5.2.1.2","6.8","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410038","5.2.1.3","16.2","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410039","5.2.1.4","","F","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410040","5.2.1.5","","F","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410041","5.2.1.6","","F","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410042","5.2.2.1","29.7","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410043","5.2.2.2","22.8","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410044","5.2.2.3","37.6","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410045","5.2.2.4","119","E","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410046","5.2.2.5","90","E","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410047","5.2.2.6","149","E","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410048","5.2.3.1","59.7","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410049","5.2.3.2","51.8","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410050","5.2.3.3","67.1","","","","1"
"2021-07","Nova Scotia","2016A000212","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410051","5.2.3.4","240","","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410052","5.2.3.5","209","","","","0"
"2021-07","Nova Scotia","2016A000212","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410053","5.2.3.6","272","","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410054","5.3.1.1","17.0","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410055","5.3.1.2","12.3","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410056","5.3.1.3","23.1","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410057","5.3.1.4","","F","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410058","5.3.1.5","","F","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410059","5.3.1.6","","F","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410060","5.3.2.1","38.9","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410061","5.3.2.2","32.5","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410062","5.3.2.3","45.7","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410063","5.3.2.4","164","","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410064","5.3.2.5","136","","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410065","5.3.2.6","192","","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410066","5.3.3.1","44.0","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410067","5.3.3.2","37.7","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410068","5.3.3.3","50.6","","","","1"
"2021-07","Nova Scotia","2016A000212","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410069","5.3.3.4","186","","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410070","5.3.3.5","158","","","","0"
"2021-07","Nova Scotia","2016A000212","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410071","5.3.3.6","214","","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410072","6.1.1.1","16.0","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410073","6.1.1.2","12.6","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410074","6.1.1.3","20.1","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410075","6.1.1.4","104","E","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410076","6.1.1.5","80","E","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410077","6.1.1.6","129","E","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410078","6.1.2.1","32.7","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410079","6.1.2.2","28.1","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410080","6.1.2.3","37.6","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410081","6.1.2.4","213","","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410082","6.1.2.5","182","","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410083","6.1.2.6","244","","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410084","6.1.3.1","51.4","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410085","6.1.3.2","46.5","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410086","6.1.3.3","56.2","","","","1"
"2021-07","New Brunswick","2016A000213","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410087","6.1.3.4","335","","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410088","6.1.3.5","304","","","","0"
"2021-07","New Brunswick","2016A000213","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410089","6.1.3.6","367","","","","0"
"2021-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410090","6.2.1.1","12.8","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410091","6.2.1.2","8.6","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410092","6.2.1.3","18.8","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410093","6.2.1.4","","F","","","0"
"2021-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410094","6.2.1.5","","F","","","0"
"2021-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410095","6.2.1.6","","F","","","0"
"2021-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410096","6.2.2.1","32.5","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410097","6.2.2.2","25.7","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410098","6.2.2.3","40.1","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410099","6.2.2.4","104","E","","","0"
"2021-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410100","6.2.2.5","81","E","","","0"
"2021-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410101","6.2.2.6","128","E","","","0"
"2021-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410102","6.2.3.1","54.7","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410103","6.2.3.2","47.4","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410104","6.2.3.3","61.7","","","","1"
"2021-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410105","6.2.3.4","176","","","","0"
"2021-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410106","6.2.3.5","152","","","","0"
"2021-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410107","6.2.3.6","199","","","","0"
"2021-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410108","6.3.1.1","19.0","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410109","6.3.1.2","14.2","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410110","6.3.1.3","25.0","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410111","6.3.1.4","","F","","","0"
"2021-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410112","6.3.1.5","","F","","","0"
"2021-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410113","6.3.1.6","","F","","","0"
"2021-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410114","6.3.2.1","32.8","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410115","6.3.2.2","27.1","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410116","6.3.2.3","39.1","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410117","6.3.2.4","109","E","","","0"
"2021-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410118","6.3.2.5","89","E","","","0"
"2021-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410119","6.3.2.6","129","E","","","0"
"2021-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410120","6.3.3.1","48.2","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410121","6.3.3.2","41.4","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410122","6.3.3.3","55.0","","","","1"
"2021-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410123","6.3.3.4","160","","","","0"
"2021-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410124","6.3.3.5","137","","","","0"
"2021-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410125","6.3.3.6","182","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410126","7.1.1.1","13.5","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410127","7.1.1.2","11.9","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410128","7.1.1.3","15.3","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410129","7.1.1.4","956","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410130","7.1.1.5","837","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410131","7.1.1.6","1074","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410132","7.1.2.1","30.3","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410133","7.1.2.2","28.0","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410134","7.1.2.3","32.7","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410135","7.1.2.4","2139","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410136","7.1.2.5","1971","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410137","7.1.2.6","2306","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410138","7.1.3.1","56.2","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410139","7.1.3.2","53.8","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410140","7.1.3.3","58.6","","","","1"
"2021-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410141","7.1.3.4","3973","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410142","7.1.3.5","3799","","","","0"
"2021-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410143","7.1.3.6","4146","","","","0"
"2021-07","Quebec","2016A000224","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410144","7.2.1.1","11.0","","","","1"
"2021-07","Quebec","2016A000224","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410145","7.2.1.2","8.9","","","","1"
"2021-07","Quebec","2016A000224","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410146","7.2.1.3","13.6","","","","1"
"2021-07","Quebec","2016A000224","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410147","7.2.1.4","388","E","","","0"
"2021-07","Quebec","2016A000224","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410148","7.2.1.5","304","E","","","0"
"2021-07","Quebec","2016A000224","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410149","7.2.1.6","471","E","","","0"
"2021-07","Quebec","2016A000224","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410150","7.2.2.1","26.9","","","","1"
"2021-07","Quebec","2016A000224","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410151","7.2.2.2","23.7","","","","1"
"2021-07","Quebec","2016A000224","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410152","7.2.2.3","30.3","","","","1"
"2021-07","Quebec","2016A000224","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410153","7.2.2.4","949","","","","0"
"2021-07","Quebec","2016A000224","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410154","7.2.2.5","833","","","","0"
"2021-07","Quebec","2016A000224","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410155","7.2.2.6","1064","","","","0"
"2021-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410156","7.2.3.1","62.1","","","","1"
"2021-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410157","7.2.3.2","58.4","","","","1"
"2021-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410158","7.2.3.3","65.7","","","","1"
"2021-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410159","7.2.3.4","2191","","","","0"
"2021-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410160","7.2.3.5","2062","","","","0"
"2021-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410161","7.2.3.6","2319","","","","0"
"2021-07","Quebec","2016A000224","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410162","7.3.1.1","16.0","","","","1"
"2021-07","Quebec","2016A000224","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410163","7.3.1.2","13.7","","","","1"
"2021-07","Quebec","2016A000224","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410164","7.3.1.3","18.7","","","","1"
"2021-07","Quebec","2016A000224","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410165","7.3.1.4","568","","","","0"
"2021-07","Quebec","2016A000224","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410166","7.3.1.5","481","","","","0"
"2021-07","Quebec","2016A000224","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410167","7.3.1.6","656","","","","0"
"2021-07","Quebec","2016A000224","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410168","7.3.2.1","33.6","","","","1"
"2021-07","Quebec","2016A000224","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410169","7.3.2.2","30.3","","","","1"
"2021-07","Quebec","2016A000224","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410170","7.3.2.3","37.1","","","","1"
"2021-07","Quebec","2016A000224","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410171","7.3.2.4","1190","","","","0"
"2021-07","Quebec","2016A000224","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410172","7.3.2.5","1067","","","","0"
"2021-07","Quebec","2016A000224","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410173","7.3.2.6","1313","","","","0"
"2021-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410174","7.3.3.1","50.3","","","","1"
"2021-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410175","7.3.3.2","46.9","","","","1"
"2021-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410176","7.3.3.3","53.8","","","","1"
"2021-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410177","7.3.3.4","1782","","","","0"
"2021-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410178","7.3.3.5","1660","","","","0"
"2021-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410179","7.3.3.6","1904","","","","0"
"2021-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410180","8.1.1.1","13.3","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410181","8.1.1.2","11.9","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410182","8.1.1.3","14.9","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410183","8.1.1.4","1631","","","","0"
"2021-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410184","8.1.1.5","1444","","","","0"
"2021-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410185","8.1.1.6","1819","","","","0"
"2021-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410186","8.1.2.1","36.5","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410187","8.1.2.2","34.3","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410188","8.1.2.3","38.6","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410189","8.1.2.4","4462","","","","0"
"2021-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410190","8.1.2.5","4197","","","","0"
"2021-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410191","8.1.2.6","4726","","","","0"
"2021-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410192","8.1.3.1","50.2","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410193","8.1.3.2","48.0","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410194","8.1.3.3","52.4","","","","1"
"2021-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410195","8.1.3.4","6145","","","","0"
