"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409831","1.2.2.6","5077","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409832","1.2.3.1","57.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409833","1.2.3.2","55.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409834","1.2.3.3","59.4","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409835","1.2.3.4","8848","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409836","1.2.3.5","8561","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409837","1.2.3.6","9134","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409838","1.3.1.1","14.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409839","1.3.1.2","13.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409840","1.3.1.3","16.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409841","1.3.1.4","2316","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409842","1.3.1.5","2122","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409843","1.3.1.6","2511","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409844","1.3.2.1","37.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409845","1.3.2.2","35.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409846","1.3.2.3","38.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409847","1.3.2.4","5862","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409848","1.3.2.5","5596","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409849","1.3.2.6","6129","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409850","1.3.3.1","48.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409851","1.3.3.2","46.4","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409852","1.3.3.3","49.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409853","1.3.3.4","7581","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409854","1.3.3.5","7315","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409855","1.3.3.6","7846","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409856","2.1.1.1","14.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409857","2.1.1.2","12.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409858","2.1.1.3","16.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409859","2.1.1.4","287","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409860","2.1.1.5","245","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409861","2.1.1.6","328","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409862","2.1.2.1","32.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409863","2.1.2.2","29.9","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409864","2.1.2.3","35.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409865","2.1.2.4","670","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409866","2.1.2.5","613","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409867","2.1.2.6","726","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409868","2.1.3.1","53.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409869","2.1.3.2","50.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409870","2.1.3.3","56.2","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409871","2.1.3.4","1097","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409872","2.1.3.5","1038","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409873","2.1.3.6","1155","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409874","2.2.1.1","10.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409875","2.2.1.2","8.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409876","2.2.1.3","13.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409877","2.2.1.4","109","E","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409878","2.2.1.5","82","E","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409879","2.2.1.6","135","E","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409880","2.2.2.1","28.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409881","2.2.2.2","24.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409882","2.2.2.3","32.7","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409883","2.2.2.4","286","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409884","2.2.2.5","245","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409885","2.2.2.6","327","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409886","2.2.3.1","60.7","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409887","2.2.3.2","56.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409888","2.2.3.3","64.9","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409889","2.2.3.4","609","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409890","2.2.3.5","566","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409891","2.2.3.6","653","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409892","2.3.1.1","17.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409893","2.3.1.2","14.2","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409894","2.3.1.3","20.2","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409895","2.3.1.4","178","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409896","2.3.1.5","146","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409897","2.3.1.6","210","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409898","2.3.2.1","36.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409899","2.3.2.2","33.0","","","","1"
