Geography,Population,Labour_Metric,Sex,Year,Indicator,Value
Canada,Total population,Employment rate 12,Males,2020,Percentage,62.1
Canada,Total population,Employment rate 12,Females,2020,Percentage,54
Canada,Total population,Unemployment rate 10,Both sexes,2021,Percentage,7.6
Canada,Total population,Unemployment rate 10,Males,2021,Percentage,7.8
Canada,Total population,Unemployment rate 10,Females,2021,Percentage,7.4
Canada,Total population,Participation rate 11,Both sexes,2021,Percentage,65.3
Canada,Total population,Participation rate 11,Males,2021,Percentage,69.7
Canada,Total population,Participation rate 11,Females,2021,Percentage,61
Canada,Total population,Employment rate 12,Both sexes,2021,Percentage,60.3
Canada,Total population,Employment rate 12,Males,2021,Percentage,64.3
Canada,Total population,Employment rate 12,Females,2021,Percentage,56.5
Canada,Total population,Unemployment rate 10,Both sexes,2022,Percentage,5.3
Canada,Total population,Unemployment rate 10,Males,2022,Percentage,5.4
Canada,Total population,Unemployment rate 10,Females,2022,Percentage,5.2
Canada,Total population,Participation rate 11,Both sexes,2022,Percentage,65.4
Canada,Total population,Participation rate 11,Males,2022,Percentage,69.4
Canada,Total population,Participation rate 11,Females,2022,Percentage,61.4
Canada,Total population,Employment rate 12,Both sexes,2022,Percentage,61.9
Canada,Total population,Employment rate 12,Males,2022,Percentage,65.6
Canada,Total population,Employment rate 12,Females,2022,Percentage,58.2
Canada,Total population,Unemployment rate 10,Both sexes,2023,Percentage,5.4
Canada,Total population,Unemployment rate 10,Males,2023,Percentage,5.6
Canada,Total population,Unemployment rate 10,Females,2023,Percentage,5.3
Canada,Total population,Participation rate 11,Both sexes,2023,Percentage,65.5
Canada,Total population,Participation rate 11,Males,2023,Percentage,69.6
Canada,Total population,Participation rate 11,Females,2023,Percentage,61.6
Canada,Total population,Employment rate 12,Both sexes,2023,Percentage,62
Canada,Total population,Employment rate 12,Males,2023,Percentage,65.7
Canada,Total population,Employment rate 12,Females,2023,Percentage,58.3
Canada,Total population,Unemployment rate 10,Both sexes,2024,Percentage,6.4
Canada,Total population,Unemployment rate 10,Males,2024,Percentage,6.7
Canada,Total population,Unemployment rate 10,Females,2024,Percentage,6
Canada,Total population,Participation rate 11,Both sexes,2024,Percentage,65.1
Canada,Total population,Participation rate 11,Males,2024,Percentage,69.3
Canada,Total population,Participation rate 11,Females,2024,Percentage,61.1
Canada,Total population,Employment rate 12,Both sexes,2024,Percentage,61
Canada,Total population,Employment rate 12,Males,2024,Percentage,64.6
Canada,Total population,Employment rate 12,Females,2024,Percentage,57.4
Canada,Indigenous population,Population 5,Both sexes,2020,Persons,"1,153.80"
Canada,Indigenous population,Population 5,Males,2020,Persons,557.6
Canada,Indigenous population,Population 5,Females,2020,Persons,596.2
Canada,Indigenous population,Labour force 6,Both sexes,2020,Persons,701.8
Canada,Indigenous population,Labour force 6,Males,2020,Persons,361.8
Canada,Indigenous population,Labour force 6,Females,2020,Persons,340.1
Canada,Indigenous population,Employment 7,Both sexes,2020,Persons,604.1
Canada,Indigenous population,Employment 7,Males,2020,Persons,306.9
Canada,Indigenous population,Employment 7,Females,2020,Persons,297.2
Canada,Indigenous population,Unemployment 8,Both sexes,2020,Persons,97.7
Canada,Indigenous population,Unemployment 8,Males,2020,Persons,54.8
Canada,Indigenous population,Unemployment 8,Females,2020,Persons,42.8
Canada,Indigenous population,Not in labour force 9,Both sexes,2020,Persons,452
Canada,Indigenous population,Not in labour force 9,Males,2020,Persons,195.8
Canada,Indigenous population,Not in labour force 9,Females,2020,Persons,256.2
Canada,Indigenous population,Population 5,Both sexes,2021,Persons,"1,195.90"
Canada,Indigenous population,Population 5,Males,2021,Persons,579.7
Canada,Indigenous population,Population 5,Females,2021,Persons,616.2
Canada,Indigenous population,Labour force 6,Both sexes,2021,Persons,765.9
Canada,Indigenous population,Labour force 6,Males,2021,Persons,390.8
Canada,Indigenous population,Labour force 6,Females,2021,Persons,375.1
Canada,Indigenous population,Employment 7,Both sexes,2021,Persons,679.2
Canada,Indigenous population,Employment 7,Males,2021,Persons,342.9
Canada,Indigenous population,Employment 7,Females,2021,Persons,336.2
Canada,Indigenous population,Unemployment 8,Both sexes,2021,Persons,86.7
Canada,Indigenous population,Unemployment 8,Males,2021,Persons,47.8
Canada,Indigenous population,Unemployment 8,Females,2021,Persons,38.9
Canada,Indigenous population,Not in labour force 9,Both sexes,2021,Persons,430.1
Canada,Indigenous population,Not in labour force 9,Males,2021,Persons,189
Canada,Indigenous population,Not in labour force 9,Females,2021,Persons,241.1
Canada,Indigenous population,Population 5,Both sexes,2022,Persons,"1,238.30"
Canada,Indigenous population,Population 5,Males,2022,Persons,603.1
Canada,Indigenous population,Population 5,Females,2022,Persons,635.2
Canada,Indigenous population,Labour force 6,Both sexes,2022,Persons,820
Canada,Indigenous population,Labour force 6,Males,2022,Persons,414.6
Canada,Indigenous population,Labour force 6,Females,2022,Persons,405.5
Canada,Indigenous population,Employment 7,Both sexes,2022,Persons,754.7
Canada,Indigenous population,Employment 7,Males,2022,Persons,379.2
Canada,Indigenous population,Employment 7,Females,2022,Persons,375.5
Canada,Indigenous population,Unemployment 8,Both sexes,2022,Persons,65.3
Canada,Indigenous population,Unemployment 8,Males,2022,Persons,35.4
Canada,Indigenous population,Unemployment 8,Females,2022,Persons,30
Canada,Indigenous population,Not in labour force 9,Both sexes,2022,Persons,418.2
Canada,Indigenous population,Not in labour force 9,Males,2022,Persons,188.5
Canada,Indigenous population,Not in labour force 9,Females,2022,Persons,229.7
Canada,Indigenous population,Population 5,Both sexes,2023,Persons,"1,277.40"
Canada,Indigenous population,Population 5,Males,2023,Persons,623.7
Canada,Indigenous population,Population 5,Females,2023,Persons,653.8
Canada,Indigenous population,Labour force 6,Both sexes,2023,Persons,822.4
Canada,Indigenous population,Labour force 6,Males,2023,Persons,421.6
Canada,Indigenous population,Labour force 6,Females,2023,Persons,400.8
Canada,Indigenous population,Employment 7,Both sexes,2023,Persons,750.4
Canada,Indigenous population,Employment 7,Males,2023,Persons,383.9
Canada,Indigenous population,Employment 7,Females,2023,Persons,366.5
Canada,Indigenous population,Unemployment 8,Both sexes,2023,Persons,72
Canada,Indigenous population,Unemployment 8,Males,2023,Persons,37.7
Canada,Indigenous population,Unemployment 8,Females,2023,Persons,34.3
Canada,Indigenous population,Not in labour force 9,Both sexes,2023,Persons,455
Canada,Indigenous population,Not in labour force 9,Males,2023,Persons,202.1
Canada,Indigenous population,Not in labour force 9,Females,2023,Persons,252.9
Canada,Indigenous population,Population 5,Both sexes,2024,Persons,"1,316.80"
Canada,Indigenous population,Population 5,Males,2024,Persons,643.3
Canada,Indigenous population,Population 5,Females,2024,Persons,673.6
Canada,Indigenous population,Labour force 6,Both sexes,2024,Persons,834
Canada,Indigenous population,Labour force 6,Males,2024,Persons,426.7
Canada,Indigenous population,Labour force 6,Females,2024,Persons,407.4
Canada,Indigenous population,Employment 7,Both sexes,2024,Persons,752.5
Canada,Indigenous population,Employment 7,Males,2024,Persons,379.4
Canada,Indigenous population,Employment 7,Females,2024,Persons,373.2
Canada,Indigenous population,Unemployment 8,Both sexes,2024,Persons,81.5
Canada,Indigenous population,Unemployment 8,Males,2024,Persons,47.3
Canada,Indigenous population,Unemployment 8,Females,2024,Persons,34.2
Canada,Indigenous population,Not in labour force 9,Both sexes,2024,Persons,482.8
Canada,Indigenous population,Not in labour force 9,Males,2024,Persons,216.6
Canada,Indigenous population,Not in labour force 9,Females,2024,Persons,266.2
Canada,Indigenous population,Unemployment rate 10,Both sexes,2020,Percentage,13.9
Canada,Indigenous population,Unemployment rate 10,Males,2020,Percentage,15.2
Canada,Indigenous population,Unemployment rate 10,Females,2020,Percentage,12.6
Canada,Indigenous population,Participation rate 11,Both sexes,2020,Percentage,60.8
Canada,Indigenous population,Participation rate 11,Males,2020,Percentage,64.9
Canada,Indigenous population,Participation rate 11,Females,2020,Percentage,57
Canada,Indigenous population,Employment rate 12,Both sexes,2020,Percentage,52.4
Canada,Indigenous population,Employment rate 12,Males,2020,Percentage,55
Canada,Indigenous population,Employment rate 12,Females,2020,Percentage,49.8
Canada,Indigenous population,Unemployment rate 10,Both sexes,2021,Percentage,11.3
Canada,Indigenous population,Unemployment rate 10,Males,2021,Percentage,12.2
Canada,Indigenous population,Unemployment rate 10,Females,2021,Percentage,10.4
Canada,Indigenous population,Participation rate 11,Both sexes,2021,Percentage,64
Canada,Indigenous population,Participation rate 11,Males,2021,Percentage,67.4
Canada,Indigenous population,Participation rate 11,Females,2021,Percentage,60.9
Canada,Indigenous population,Employment rate 12,Both sexes,2021,Percentage,56.8
Canada,Indigenous population,Employment rate 12,Males,2021,Percentage,59.2
Canada,Indigenous population,Employment rate 12,Females,2021,Percentage,54.6
Canada,Indigenous population,Unemployment rate 10,Both sexes,2022,Percentage,8
Canada,Indigenous population,Unemployment rate 10,Males,2022,Percentage,8.5
Canada,Indigenous population,Unemployment rate 10,Females,2022,Percentage,7.4
Canada,Indigenous population,Participation rate 11,Both sexes,2022,Percentage,66.2
Canada,Indigenous population,Participation rate 11,Males,2022,Percentage,68.7
Canada,Indigenous population,Participation rate 11,Females,2022,Percentage,63.8
Canada,Indigenous population,Employment rate 12,Both sexes,2022,Percentage,60.9
Canada,Indigenous population,Employment rate 12,Males,2022,Percentage,62.9
Canada,Indigenous population,Employment rate 12,Females,2022,Percentage,59.1
Canada,Indigenous population,Unemployment rate 10,Both sexes,2023,Percentage,8.8
Canada,Indigenous population,Unemployment rate 10,Males,2023,Percentage,8.9
Canada,Indigenous population,Unemployment rate 10,Females,2023,Percentage,8.6
Canada,Indigenous population,Participation rate 11,Both sexes,2023,Percentage,64.4
Canada,Indigenous population,Participation rate 11,Males,2023,Percentage,67.6
Canada,Indigenous population,Participation rate 11,Females,2023,Percentage,61.3
Canada,Indigenous population,Employment rate 12,Both sexes,2023,Percentage,58.7
Canada,Indigenous population,Employment rate 12,Males,2023,Percentage,61.6
